player,position,season,Team,TOI,GF_60,GA_60,GPM_60,xGF_60,xGA_60,xGPM_60,CF_60,CA_60,CPM_60
ALEX.CHIASSON,F,20182019,EDM,977.48,-0.157,-0.183,0.025,-0.09,-0.028,-0.062,-2.25,1.8,-4.05
ALEX.DEBRINCAT,F,20172018,CHI,984.28,0.215,-0.06,0.275,-0.017,-0.007,-0.01,1.16,-2.18,3.34
ALEX.DEBRINCAT,F,20182019,CHI,1141.78,0.312,0.096,0.216,-0.025,0.045,-0.07,1.04,0.38,0.66
ALEX.EDLER,D,20172018,VAN,1280.57,-0.112,-0.034,-0.078,-0.116,-0.018,-0.098,-0.9,2.47,-3.37
ALEX.EDLER,D,20182019,VAN,1013.97,-0.03,-0.04,0.01,-0.095,-0.071,-0.024,-0.17,-0.24,0.07
ALEXEI.EMELIN,D,20172018,NSH,1147.35,-0.14,-0.152,0.012,-0.198,-0.021,-0.176,-4.93,1,-5.93
ALEX.FORMENTON,F,20172018,OTT,4.9,-0.005,-0.005,0,-0.008,0.014,-0.022,-0.03,0.47,-0.5
ALEX.FORMENTON,F,20182019,OTT,100.43,-0.028,-0.008,-0.02,-0.042,-0.033,-0.009,-1.45,0.79,-2.24
ALEX.FORTIN,F,20182019,CHI,241.57,-0.075,0.054,-0.129,0.118,0.084,0.034,3.02,0.56,2.47
ALEX.GALCHENYUK,F,20172018,MTL,1060.03,-0.175,0.046,-0.222,0.01,0.24,-0.23,1.12,3.71,-2.59
ALEX.GALCHENYUK,F,20182019,ARI,878.08,-0.131,0.031,-0.161,-0.076,0.146,-0.222,-2.57,1.97,-4.54
ALEX.GOLIGOSKI,D,20172018,ARI,1478.53,-0.215,0.118,-0.333,-0.116,0.068,-0.184,-0.53,2.51,-3.04
ALEX.GOLIGOSKI,D,20182019,ARI,1294.25,0.003,0.036,-0.032,0.093,0.041,0.052,1.68,2.92,-1.24
ALEX.IAFALLO,F,20172018,L.A,1045.28,-0.038,-0.11,0.072,-0.069,-0.145,0.077,0.75,-2.65,3.4
ALEX.IAFALLO,F,20182019,L.A,1181.95,-0.036,-0.025,-0.011,-0.155,-0.014,-0.141,-1.43,-2.26,0.84
ALEX.KERFOOT,F,20172018,COL,845.7,0.055,-0.051,0.106,-0.023,-0.02,-0.003,-0.96,0.39,-1.35
ALEX.KERFOOT,F,20182019,COL,969.22,-0.12,0,-0.121,0.024,-0.226,0.249,1.18,-2.3,3.48
ALEX.KILLORN,F,20172018,T.B,957.33,0.254,-0.018,0.272,0.071,-0.108,0.179,3.64,-3.22,6.87
ALEX.KILLORN,F,20182019,T.B,930.73,0.041,-0.189,0.23,0.06,-0.131,0.191,3.54,-1.94,5.48
ALEX.NYLANDER,F,20172018,BUF,35.55,-0.01,0.033,-0.043,-0.014,0.008,-0.022,-0.03,0.32,-0.35
ALEX.NYLANDER,F,20182019,BUF,132.95,-0.025,0.006,-0.032,-0.021,-0.027,0.006,0.66,-0.62,1.27
ALEX.OVECHKIN,F,20172018,WSH,1248.67,0.237,0.076,0.16,0.301,0.212,0.089,4.15,1.62,2.53
ALEX.OVECHKIN,F,20182019,WSH,1273.43,0.306,0.133,0.173,0.014,0.235,-0.22,-0.06,1.35,-1.41
ALEX.PETROVIC,D,20172018,FLA,949.72,-0.054,0.016,-0.07,-0.02,-0.007,-0.014,0.06,-0.92,0.98
ALEX.PETROVIC,D,20182019,EDM/FLA,524.27,-0.242,0.073,-0.315,-0.149,0.164,-0.313,0.79,2.77,-1.99
ALEX.PIETRANGELO,D,20172018,STL,1537.07,0.079,-0.112,0.191,-0.005,-0.039,0.035,2.31,-0.97,3.29
ALEX.PIETRANGELO,D,20182019,STL,1315.38,0.131,0.029,0.103,0.119,0.028,0.091,3.38,-0.74,4.11
ALEX.RADULOV,F,20172018,DAL,1323.77,0.074,-0.004,0.078,0.166,0.019,0.147,3.41,0.21,3.2
ALEX.RADULOV,F,20182019,DAL,1111.42,0.325,-0.065,0.391,0.186,0.027,0.159,2.12,1.43,0.69
ALEX.STEEN,F,20172018,STL,1057.92,0.015,0.058,-0.042,-0.062,-0.103,0.042,1.4,-0.88,2.28
ALEX.STEEN,F,20182019,STL,783.2,-0.048,-0.052,0.005,-0.14,-0.177,0.038,0.13,-2.91,3.05
ALEX.TEXIER,F,20182019,CBJ,25.53,0.049,-0.028,0.078,-0.015,0.007,-0.022,-0.55,0.48,-1.03
ALEX.TUCH,F,20172018,VGK,979.83,-0.024,-0.137,0.113,0.105,-0.117,0.222,2.13,-1.13,3.26
ALEX.TUCH,F,20182019,VGK,1022.77,0.272,-0.029,0.301,0.172,-0.056,0.228,1.42,-1.34,2.76
ALEX.WENNBERG,F,20172018,CBJ,939.73,0.364,-0.015,0.379,0.208,-0.018,0.226,2.12,-1.72,3.83
ALEX.WENNBERG,F,20182019,CBJ,881.62,-0.028,0.075,-0.103,0.022,0.037,-0.015,2.3,-0.92,3.21
ANDERS.BJORK,F,20172018,BOS,339.23,0.022,-0.006,0.029,-0.064,0.023,-0.087,0.4,0.67,-0.28
ANDERS.BJORK,F,20182019,BOS,217.57,-0.108,-0.045,-0.063,-0.152,-0.066,-0.086,-1.52,0.4,-1.92
ANDERS.LEE,F,20172018,NYI,1126.4,0.123,0.221,-0.098,0.075,0.041,0.034,0.02,1.29,-1.27
ANDERS.LEE,F,20182019,NYI,1121.1,0.145,-0.19,0.335,0.177,-0.051,0.228,2.25,-0.11,2.36
ANDREAS.ATHANASIOU,F,20172018,DET,918.82,-0.013,0.087,-0.101,0.039,0.129,-0.09,0.75,1.36,-0.6
ANDREAS.ATHANASIOU,F,20182019,DET,1082.18,0.007,0.02,-0.012,0.079,0.142,-0.062,-0.19,3.75,-3.94
ANDREAS.BORGMAN,D,20172018,TOR,642.62,0.113,0.079,0.034,0.014,0.011,0.003,0.25,0.9,-0.65
ANDREAS.ENGLUND,D,20172018,OTT,10.75,0.015,-0.011,0.026,-0.018,0.004,-0.021,-0.44,0.32,-0.75
ANDREAS.ENGLUND,D,20182019,OTT,37.78,-0.041,0.036,-0.077,-0.036,-0.056,0.021,-0.13,-1.2,1.06
ANDREAS.JOHNSSON,F,20172018,TOR,84.48,-0.014,0.04,-0.055,0.011,-0.046,0.057,1.18,-1.23,2.4
